Matricula,S1,S2,S3,S4,S5,S6,Freq
GRR20135660,8.5,6.5,7,5.8,6,NA,16
GRR20130130,9.5,9.8,8.5,9,NA,NA,15
GRR20140223,6,4.5,1.5,3.5,3,9,13
GRR20127187,8.5,7.8,7,6.5,NA,6,18
GRR20130438,9,6.5,8,9,9,6,17
GRR20127199,7.5,5.5,4,2.5,9,9,19
GRR20130617,9,5.5,NA,NA,NA,NA,5
GRR20135762,9,8.3,7,4.5,7,NA,17
GRR20130702,9,2.2,3,5,8,8,18
GRR20136617,5.5,7.8,8,9.3,9,9,17
GRR20160023,10,8,8.5,8.5,7,10,18
GRR20130845,5,2,NA,NA,NA,NA,4
GRR20135661,9,3,8,NA,7,7,15
GRR20110014,8.5,3.5,5.5,2.5,NA,4,17
GRR20081784,6,NA,1,2,1,5,15
GRR20111904,8,3.7,5.5,2,6,9,19
GRR20131405,8.8,7.5,8,8,9,10,18
GRR20142261,7,5.5,3,3,7,9,17
GRR20112119,9.5,9,6,3.8,7,10,15
GRR20142768,8,6.4,6,7,9,6,18
GRR20131728,9,3.7,0.8,4.5,5,5,8
GRR20127335,9,NA,7,4.8,7,4,18
GRR20140179,NA,NA,NA,NA,NA,NA,4
GRR20095802,7.5,5,5,0,9,6,15
GRR20127188,10,8.7,6,5,5,9,18
GRR20135663,9.5,5,5,4.8,6,7,15
GRR20132175,9,7.5,NA,6.5,2,6,10
GRR20132334,5,1.5,NA,NA,NA,NA,5
GRR20102715,7.5,NA,2,NA,4,8,11
GRR20120643,4.5,0.2,3.5,NA,NA,NA,10
GRR20137377,9.5,8.5,8.5,9,8,5,18
GRR20143033,7.5,NA,4.5,NA,1,9,13
GRR20132674,NA,NA,NA,NA,NA,NA,0
GRR20113413,9,8,5,NA,8,6,17
GRR20127193,7,3.5,5.5,1.5,7,10,11
GRR20127164,7,2.5,5.5,NA,4,4,19
GRR20113699,10,10,6,5,9,5,18
GRR20122965,8.5,9.8,6,7.3,9,NA,19
GRR20135523,9.5,10,7,9,10,8,18
GRR20137518,NA,NA,NA,NA,NA,NA,0
GRR20137249,8.5,4.5,8.5,3.5,7,9,8
GRR20133917,8.5,5.5,6.5,7.5,8,10,19
GRR20104471,NA,NA,1.5,0,6,9,6
GRR20134343,9.5,2,4.5,7.5,9,7,16
GRR20127158,NA,1,NA,1.5,7,6,12
GRR20136482,8.5,NA,7,2,6,9,16
GRR20134376,9,9,10,NA,7,4,13
GRR20134627,8.5,4,4.5,6.5,4.5,7,18
GRR20134720,6,7.5,6,NA,NA,3,13
GRR20127195,3,3.2,3.5,2,3,9,16
GRR20134749,9.5,9.3,10,8,9,9.5,17
